Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2020-05-07,842,238,601318.SH,2946802.572,-0.58,73.23,73.7,72.81,73.7,-0.7858,73.81,403122.89,0.349997434,0.584803871,2.22,4.56,6.11,35.57,4.159999233564547,3.004233,8.959835,1.570518,1.283031,0.00372,1338080000000.0,-0.00786,2e-06,73.68636563914416,73.84104696777963,72.82725375116463,1.175449185286784,75.17815212173821,70.47635538059106,56.475816298105954,73.31426596034404,72.65015416252173,0.664111797822315,0.6147005600587817,-41.399999999999864,58.60000000000014,64.82831086347736,46.14337827304573,-0.28000000000000114,0.09000000000000341,0.0,0.09000000000000341,0.8900000000000006,21.860431988423375,31.242327776094108,17.667435420069417,13.411007318544193,19.581474025421493,72.23
2020-05-08,843,237,601318.SH,2944390.962,1.03,72.97,73.29,72.06,72.8,1.4317,71.94,404719.6,0.47029358,0.999999998,2.23,4.63,6.54,36.6,4.159999868451535,3.014938,8.928024,1.564942,1.278476,0.00374,1333330000000.0,-0.00355,2e-06,73.49266698733551,73.62818982492249,72.8543966083075,1.1559466408388859,75.16628988998526,70.54250332662973,67.99896213215379,73.26130196644496,72.67384644677938,0.587455519665582,0.6092515519801418,-49.786324786324826,50.21367521367517,59.671225071225145,31.298575498575204,-0.4099999999999966,0.75,0.0,0.75,1.230000000000004,21.24370352095709,26.01625461433145,10.098508931625025,13.183593294524718,19.71819683475559,71.97
2020-05-09,844,236,601318.SH,3312317.501,0.175,73.565,74.25,72.96000000000001,73.405,0.2443499999999999,73.39,449440.1,0.569948468,0.568344179,2.21,5.23,6.25,35.985,4.1599999357434205,2.9906145000000004,9.000823,1.5777025,1.2889005,0.00415,1344200000000.0,0.0024399999999999,2e-06,73.43184932590432,73.56668974224581,72.93177756068846,1.1583823861312192,75.2485423329509,70.61501278842601,65.01631463007584,73.30802474083805,72.73985782109202,0.5681669197460337,0.6010346255333202,-37.07264957264962,62.92735042735038,57.24700854700857,74.28803418803402,0.9599999999999937,0.9000000000000057,0.9599999999999937,0.0,1.289999999999992,19.691701790617675,25.576105825852224,12.999092169627435,12.34577931475647,20.153846007534863,72.565
2020-05-10,845,235,601318.SH,3008143.27,0.53,73.45,73.81,72.765,73.35,0.73615,72.92,410084.98,0.41775268,0.623759835,2.2,4.765000000000001,6.5,36.004999999999995,4.159999975978281,2.995363,8.986752500000001,1.575236,1.286886,0.00379,1342100000000.0,-0.00157,2e-06,73.405,73.49690499095394,72.98249184640272,1.1572069810165277,75.29690580843578,70.66807788436967,66.33746076077102,73.32986708840143,72.79246094545557,0.537406142945855,0.5883089290158272,-39.52991452991447,60.470085470085536,57.870370370370374,65.66951566951586,-0.4399999999999977,0.1950000000000074,0.0,0.1950000000000074,1.0450000000000017,19.88472634765874,23.642292019891194,8.632720119956058,12.352724347070096,20.188872025595586,72.45
2020-05-11,846,234,601318.SH,3677832.43,0.93,73.9,74.8,73.11,73.11,1.2745,72.97,495757.31,0.405100305,0.00893394,2.2,5.9,6.39,36.4,4.1599999886881145,2.976996,9.041811,1.584887,1.29477,0.00458,1350320000000.0,0.01274,2e-06,73.423,73.50132094707452,73.00153946545035,1.1669176816423874,75.33537482873513,70.66770410216557,71.22138755757967,73.41757984403198,72.87450087542182,0.5430789686101605,0.5792629369346939,-32.332563510392426,67.66743648960758,63.688290795681176,75.62572787746039,0.9899999999999949,0.34499999999999886,0.9899999999999949,0.0,1.6899999999999977,24.470570000602294,22.669419534661955,3.820854615576321,11.895715526597682,19.733471219544132,72.9
2020-05-12,847,233,601318.SH,3071895.578,0.03,73.93,74.33,73.47,73.9,0.0406,73.9,415450.36,0.506404892,0.802325829,2.17,4.9,6.46,35.41,4.159999993521559,2.975788,9.045481,1.58553,1.295296,0.00384,1350870000000.0,0.00041,2e-06,73.563,73.55071428571429,73.07582517973607,1.1602192961227367,75.39626377198155,70.75538658749059,64.87093922203616,73.4964137141809,72.95268599576094,0.5437277184199587,0.5721558932317469,-42.283950617283715,57.716049382716285,61.951190447469806,49.24576725320925,-0.46999999999999886,0.35999999999999943,0.0,0.35999999999999943,0.8599999999999994,19.60130998706996,25.79145103648183,13.6368462940603,11.760027355695156,19.838623298176817,72.93
2020-05-13,848,232,601318.SH,2118699.108,-0.59,73.34,73.93,72.65,73.6,-0.7981,73.93,288970.35,0.407219702,0.505459445,2.19,4.97,6.41,36.9,4.369999994344058,2.999727,8.973294,1.572877,1.284958,0.00267,1340090000000.0,-0.00798,2e-06,73.63700000000001,73.48357142857142,73.13630137021225,1.1383000411839892,75.41290145258023,70.85970128784427,42.10810790360015,73.47235006584538,72.98137592200088,0.4909741438444968,0.5559195433542969,-60.49382716049373,39.50617283950627,54.96321957061006,8.592079377298703,-0.3999999999999915,0.8199999999999932,0.0,0.8199999999999932,1.2800000000000011,11.361717292513205,31.380680844767955,46.83631341404223,13.019115185974348,21.360266017471343,72.34
2020-05-14,849,231,601318.SH,2535717.394,-1.11,72.23,73.0,72.17,73.0,-1.5135,73.34,349715.11,0.471889255,0.513763916,2.13,4.81,6.32,35.85,4.16,3.045826,8.837483,1.549071,1.265511,0.00323,1319810000000.0,-0.01513,3e-06,73.37,73.34071428571428,73.13963470354558,0.9779561074385227,75.09554691842263,71.18372248866854,26.922313063374062,73.28121928648454,72.92571844629711,0.3555008401874318,0.5158358027209239,-94.75308641975303,5.246913580246974,34.15637860082318,-52.572016460905445,-0.9300000000000068,0.480000000000004,0.0,0.480000000000004,0.8299999999999983,11.536482969918689,23.876581862716716,34.84617598368904,14.298246213259182,22.14584827497678,71.23
2020-05-15,850,230,601318.SH,2301777.679,0.0,72.23,73.1,72.18,72.61,0.0,72.23,317507.3,0.453115293,0.955822112,2.14,4.7,6.38,36.16,4.58,3.045826,8.837483,1.549071,1.265511,0.00293,1319810000000.0,0.0,2e-06,73.126,73.235,73.22201565592654,0.9377509974416967,75.09751765080993,71.34651366104315,26.922313063374062,73.11949324241,72.8741837465714,0.2453094958385975,0.4617305413444587,-94.45489553673028,5.545104463269721,16.76606362767433,-16.8968138655395,0.09999999999999432,0.010000000000005116,0.09999999999999432,0.0,0.9199999999999875,12.251314422908502,24.119159018797504,32.63043747536196,16.492345784480726,21.7582678851312,71.23
2020-05-16,851,229,601318.SH,2382337.0205,-0.5700000000000001,72.215,72.99000000000001,71.93,72.6,-0.7775000000000001,72.785,329088.885,0.535971858,0.956253766,2.515,4.775,6.41,34.775000000000006,4.78,3.0464585,8.835647999999999,1.5487495,1.2652480000000002,0.00304,1319535000000.0,-0.007775,2.5e-06,72.78900000000002,73.04214285714286,73.24749184640272,0.8704845898099411,74.9884610260226,71.50652266678284,29.683961608932307,72.9803404358854,72.82535532089945,0.1549851149859478,0.4003814560727565,-90.0696864111499,9.930313588850089,6.907443877455603,15.976053011639058,-0.10999999999998522,0.25,0.0,0.25,1.0600000000000023,12.302978520540622,25.12978639448043,34.26625819134364,18.926327349067055,21.600594879029025,71.215
2020-05-17,852,228,601318.SH,2397787.3905,0.35,72.565,73.35,72.39500000000001,72.89500000000001,0.48475,72.215,329545.265,0.583938903,0.947974423,2.47,4.76,6.42,35.18,5.0600000000000005,3.0318295,8.878471000000001,1.5562555,1.2713800000000002,0.003045,1325930000000.0,0.00485,2e-06,72.516,72.91571428571429,73.30106327497417,0.7373784778782371,74.77582023073064,71.8263063192177,35.31023252360242,72.91644190728765,72.80606974157357,0.11037216571408237,0.3423795980010217,-77.87456445993055,22.125435540069443,12.533617864063094,41.30907089208213,0.3599999999999852,0.4650000000000034,0.0,0.4650000000000034,0.9549999999999841,12.87811927600789,21.987032910257735,26.126126126126895,19.349535947316536,20.684369634135138,71.565
2020-05-18,853,227,601318.SH,2228956.647,-0.03,72.2,72.98,71.69,72.2,-0.0415,72.23,308462.66,0.450294364,0.934681309,2.9,4.74,6.5,33.7,5.4,3.047091,8.833813,1.548428,1.264985,0.00285,1319260000000.0,-0.00042,2e-06,72.288,72.67285714285715,73.3486823225932,0.7515246009582119,74.85173152450963,71.84563312067678,33.21037731901261,72.80622007539723,72.76117568664219,0.045044388755044906,0.28291255615182637,-83.60128617363327,16.398713826366727,16.151487651762096,16.893166175575985,-0.36999999999999034,0.7050000000000125,0.0,0.7050000000000125,1.2900000000000063,13.045210974320845,26.699339852538717,34.35471931158508,20.879800966831493,20.500596637050286,71.2
