Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
1058,2/7/2018,601398.SH,4666865.512,-0.44,7.13,7.67,7,7.57,-5.81,7.57,6369817.42,0.370729758,0.452579129,6.8,91.2,11.23,11.49,
1059,2/6/2018,601398.SH,5121172.363,-0.18,7.57,7.65,7.4,7.59,-2.32,7.75,6795771.75,0.628711369,0.000000019,6.77,95.42,11.1,11.82,
1060,2/5/2018,601398.SH,3129790.805,0.15,7.75,7.77,7.46,7.48,1.97,7.6,4080189.69,0.548040715,0.000738857,7.16,96.9,11.7,13.13,
1061,2/4/2018,601398.SH,,,,,,,,,,0.483810984,0.331808465,,,,,
1062,2/3/2018,601398.SH,,,,,,,,,,0.510152347,0.389341566,,,,,
1063,2/2/2018,601398.SH,2512792.373,-0.08,7.6,7.67,7.44,7.6,-1.04,7.68,3322599.56,0.550280098,0.287565181,7.23,99.56,11.62,13.22,
1064,2/1/2018,601398.SH,3463752.676,0.2,7.68,7.7,7.42,7.44,2.67,7.48,4568140.17,0.50990424,0.243672203,7.19,99.87,11.59,14.4,
1065,1/31/2018,601398.SH,2761036.083,0.2,7.48,7.5,7.21,7.28,2.75,7.28,3767759.32,0.494757014,0.054698997,7.72,11.12,12.54,16,
1066,1/30/2018,601398.SH,1800131.407,-0.15,7.28,7.42,7.21,7.4,-2.02,7.43,2465403.67,0.207398077,0.999996977,7.83,99.83,12.47,15.73,
1067,1/29/2018,601398.SH,2770750.386,0.06,7.43,7.69,7.36,7.37,0.81,7.37,3695341.82,0.501977928,0.384513898,7.87,99.23,12.5,15.58,
1068,1/28/2018,601398.SH,,,,,,,,,,0.521231259,0.499975344,,,,,
1069,1/27/2018,601398.SH,,,,,,,,,,0.477047317,1,,,,,
1070,1/26/2018,601398.SH,3128361.719,0.02,7.37,7.55,7.27,7.29,0.27,7.35,4221498.23,0.489424676,0.530476236,8.1,12.23,12.18,15.55,
1071,1/25/2018,601398.SH,2825420.229,-0.05,7.35,7.42,7.13,7.33,-0.68,7.4,3875393.65,0.488026036,0.940863921,8.18,11.88,12.2,15.34,
1072,1/24/2018,601398.SH,3730795.529,-0.09,7.4,7.66,7.3,7.49,-1.2,7.49,5003507.85,0.526996644,0.725971063,8.43,13.59,12.24,14.23,
1073,1/23/2018,601398.SH,4451129.294,0.32,7.49,7.53,7.11,7.15,4.46,7.17,6030551.04,0.624159516,0.680300077,8.1,14.65,12.35,14.17,
1074,1/22/2018,601398.SH,3361424.941,0.05,7.17,7.35,7.01,7.04,0.7,7.12,4691221.4,0.43612381,0.729597774,8.5,14.38,12.11,14.7,
1075,1/21/2018,601398.SH,,,,,,,,,,0.661107658,0.385535539,,,,,
1076,1/20/2018,601398.SH,,,,,,,,,,0.468592244,0.059444377,,,,,
1077,1/19/2018,601398.SH,3090202.754,-0.01,7.12,7.2,6.98,7.14,-0.14,7.13,4366550.41,0.540764156,0.586952125,7.98,11.29,12.14,14.15,
1078,1/18/2018,601398.SH,4082204.721,0.41,7.13,7.15,6.75,6.75,6.1,6.72,5869909.42,0.630762191,0.999999983,7.88,11.96,12.27,13.78,
1079,1/17/2018,601398.SH,3985715.09,0.13,6.72,6.99,6.64,6.64,1.97,6.59,5885365.73,0.499138312,0.999990139,7.89,12.9,11.82,13.73,
1080,1/16/2018,601398.SH,2477463.823,0.16,6.59,6.59,6.38,6.43,2.49,6.43,3820653.05,0.209039836,0.66879998,7.78,14.98,11.81,13.83,
