Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
1/26/2018,10,1070,601398.SH,3128361.719,0.02,7.37,7.55,7.27,7.29,0.27,7.35,4221498.23,0.489424676,0.530476236,8.1,12.23,12.18,15.55,3.400271,9.182742,1.226831,3.669651,0.00157,2.63E+12,0.00272,5.00E-06,7.356,7.319285714,,,,,,7.158716505,6.947366958,0.211349547,0.152044142,,,,,0.13,0.14,0,0.14,0.28,,,,,,6.37
1/27/2018,11,1069,601398.SH,2798085.308,0.005,7.39,7.555,7.245,7.35,0.065,7.385,3785367.735,0.477047317,1,8.025,55.555,12.35,15.46,3.3911685,9.2076615,1.2301605,3.6796095,0.001405,2.63E+12,0.00069,5.00E-06,7.4,7.353571429,,,,,,7.194298581,6.98015459,0.214143991,0.164464112,,,,,0.005,0.025,0,0.025,0.31,,,,,,6.39
1/28/2018,12,1068,601398.SH,2464246.563,-0.065,7.325,7.485,7.24,7.345,-0.875,7.39,3343450.95,0.521231259,0.499975344,7.965,56.03,12.325,15.64,3.4212895,9.1266735,1.21934,3.6472445,0.00124,2.61E+12,-0.008735,5.00E-06,7.367,7.356428571,,,,,,7.214406492,7.005698695,0.208707797,0.173312849,,,,,-0.07,0.005,0,0.005,0.245,,,,,,6.325
1/29/2018,13,1067,601398.SH,2770750.386,0.06,7.43,7.69,7.36,7.37,0.81,7.37,3695341.82,0.501977928,0.384513898,7.87,99.23,12.5,15.58,3.372813,9.2575,1.236819,3.699526,0.00137,2.65E+12,0.00814,5.00E-06,7.373,7.393571429,,,,,,7.247574724,7.037128421,0.210446303,0.18073954,-19.84732824,80.15267176,,,0.205,0.12,0.205,0,0.33,21.25984252,23.84701912,5.735660848,,,6.43
1/30/2018,14,1066,601398.SH,1800131.407,-0.15,7.28,7.42,7.21,7.4,-2.02,7.43,2465403.67,0.207398077,0.999996977,7.83,99.83,12.47,15.73,3.442308,9.070605,1.211849,3.624838,0.00091,2.59E+12,-0.02019,5.00E-06,7.359,7.363571429,,,,,70.41420118,7.252563228,7.055118909,0.197444319,0.184080496,-39.04761905,60.95238095,,,-0.27,0.15,0,0.15,0.21,21.25984252,27.2215973,12.29698376,,,6.28
1/31/2018,15,1065,601398.SH,2761036.083,0.2,7.48,7.5,7.21,7.28,2.75,7.28,3767759.32,0.494757014,0.054698997,7.72,11.12,12.54,16,3.350267,9.319798,1.245142,3.724422,0.0014,2.67E+12,0.02747,5.00E-06,7.381,7.375,,,,,71.59090909,7.2875535,7.086591582,0.200961918,0.18745678,-22.34042553,77.65957447,72.92154239,87.13563862,0.08,0,0.08,0,0.29,14.25313569,27.5940707,31.88010899,,,6.48
2/1/2018,16,1064,601398.SH,3463752.676,0.2,7.68,7.7,7.42,7.44,2.67,7.48,4568140.17,0.50990424,0.243672203,7.19,99.87,11.59,14.4,3.263021,9.56899,1.278435,3.824005,0.00169,2.74E+12,0.02674,8.00E-06,7.439,7.422142857,,,,,67.74193548,7.347929885,7.130547761,0.217382124,0.193441849,-2.43902439,97.56097561,78.72431034,135.2343061,0.2,0.21,0,0.21,0.28,10.90269637,33.29425557,50.66312997,,,6.68
2/2/2018,17,1063,601398.SH,2512792.373,-0.08,7.6,7.67,7.44,7.6,-1.04,7.68,3322599.56,0.550280098,0.287565181,7.23,99.56,11.62,13.22,3.297368,9.469313,1.265118,3.784172,0.00123,2.71E+12,-0.01042,6.00E-06,7.494,7.455,,,,,64.81481481,7.386709903,7.165322001,0.221387902,0.19903106,-12.19512195,87.80487805,87.67514271,88.06434873,-0.03,0.02,0,0.02,0.23,10.87719298,28.30409357,44.47761194,,,6.6
2/3/2018,18,1062,601398.SH,3296771.741,0.175,7.715,7.735,7.44,7.46,2.32,7.54,4324164.93,0.510152347,0.389341566,7.175,98.385,11.645,13.765,3.2482845,9.6125985,1.284261,3.8414325,0.0016,2.75E+12,0.02324,7.00E-06,7.551,7.501428571,,,,,66.56891496,7.437216072,7.20603889,0.231177182,0.205460284,-2.75862069,97.24137931,94.20241099,103.319316,0.065,1.78E-15,0.065,0,0.295,12.61904762,26.42857143,35.36585366,,,6.715
2/4/2018,19,1061,601398.SH,3816982.368,-0.13,7.585,7.66,7.42,7.595,-1.68,7.715,5059185.655,0.483810984,0.331808465,7,97.49,11.36,12.52,3.303902,9.4506235,1.262621,3.776703,0.001875,2.70E+12,-0.016825,6.00E-06,7.612,7.538571429,,0.284427403,,,58.33333333,7.459952061,7.234110083,0.225841977,0.209536623,-20.68965517,79.31034483,88.1188674,61.69329969,-0.075,0.02,0,0.02,0.24,12.86407767,23.4223301,29.09698997,,,6.585
