Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PCF,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
5/30/2019,499,581,600519.SH,3634187.681,-6.61,905.3,919.99,891.22,910,-0.7249,911.91,40247.2,0.449073,0.491892,13.27,11.48,13.13,5.14,1.880592,32.30451,9.686147,48.776571,14.731152,0.0032,1.14E+12,-0.00725,4.00E-06,893.492,887.9942857,894.042381,17.80706388,929.6565087,858.4282532,42.89959608,892.584855,897.0130824,-4.428227465,-6.982476285,-35.48895899,64.51104101,59.70043073,74.13226158,-4.96,3.21,0,3.21,28.77,17.14285714,22.38483715,13.26153751,21.21186705,37.69263908,904.3
5/31/2019,500,580,600519.SH,3211384.923,-15.3,890,906.99,890,900.53,-1.69,905.3,35793.8,0.462159,0.976871,13.26,11.38,11.25,5.13,1.912921,31.758549,9.522446,47.952223,14.482189,0.00285,1.12E+12,-0.0169,4.00E-06,894.842,889.6371429,893.2271429,17.32379549,927.8747338,858.5795519,44.92687938,892.187185,896.4935948,-4.306409872,-6.447263003,-50.8511567,49.1488433,62.28638275,22.8737644,-13,1.22,0,1.22,16.99,17.80739872,22.31468148,11.23392091,20.59940184,36.24550487,889
6/1/2019,501,579,600519.SH,3355555.006,-2.305,898.65,910.67,888.75,901,-0.2501,900.955,37363.22,0.514037,0.923743,13.185,11.345,12.295,5.135,1.894612,32.067213,9.614996,48.418276,14.6229425,0.00297,1.13E+12,-0.0025,2.50E-06,898.772,893.73,894.3340476,17.34343893,929.0209255,859.6471698,47.46808081,893.1814642,896.6533286,-3.471864352,-5.852183273,-38.26567729,61.73432271,58.46473567,68.27349679,3.68,1.25,3.68,0,21.92,19.04034586,19.53350505,1.278480588,19.16131271,34.43369284,897.65
6/2/2019,502,578,600519.SH,3346384.587,-16,882.65,901.21,880.5,897.765,-1.7811,898.65,37741.64,0.470324,0.235527,13.19,11.39,55.22,5.265,1.928984,31.496273,9.443806,47.5562135,14.3625885,0.003005,1.11E+12,-0.01781,3.50E-06,897.702,893.6442857,893.6580952,17.53110458,928.7203044,858.5958861,45.01352866,891.5612389,895.616045,-4.054806017,-5.492707822,-61.54517678,38.45482322,49.77932974,15.80581018,-9.46,8.25,0,8.25,20.71,18.3917936,22.50709186,10.06212814,18.90860875,32.70139175,881.65
6/3/2019,503,577,600519.SH,3076922.33,2,892,901.35,886.28,892,0.2247,890,34479.24,0.516469,0.5375,13.1,11.21,11.46,5.13,1.908632,31.829916,9.543845,48.059981,14.514733,0.00274,1.12E+12,0.00225,1.00E-06,893.72,895.5014286,893.6580952,17.45609006,928.5702754,858.7459151,51.99591744,891.6287406,895.3481898,-3.719449134,-5.138056084,-47.94121926,52.05878074,50.74930889,54.67772443,0.14,5.78,0,5.78,15.07,19.10747957,20.790558,4.218449151,17.42535757,30.7925352,891
6/4/2019,504,576,600519.SH,3481384.251,-16.7,875.3,895.43,871,895,-1.8722,892,39689.48,0.51423,0.502445,13.12,11.4,99.19,5.4,1.945047,31.233997,9.365166,47.160204,14.242988,0.00316,1.10E+12,-0.01872,3.00E-06,887.72,893.6871429,893.1214286,16.08844719,925.2983229,860.9445342,44.61807453,889.1166267,893.8631387,-4.746511984,-5.059747264,-72.23919686,27.76080314,39.42480237,4.432804695,-5.92,15.28,0,15.28,24.43,16.95579589,26.04485737,21.13703116,18.26339874,29.38044727,874.3
6/5/2019,505,575,600519.SH,2988114.67,-3.7,871.6,886.26,870,884,-0.4227,875.3,34067.36,0.503861,0.372716,13.13,11.7,99.5,5.3,1.953304,31.101967,9.325578,46.960852,14.182782,0.00271,1.09E+12,-0.00423,3.00E-06,884.04,887.9285714,890.4833333,13.87945978,918.2422529,862.7244138,45.43734698,886.4217611,892.2140173,-5.792256246,-5.20624906,-77.62258111,22.37741889,34.06566759,-0.99907852,-9.17,1,0,1,16.26,17.34559009,24.57044418,17.23649247,18.90006818,27.50710114,870.6
6/6/2019,506,574,600519.SH,3009567.792,-9.47,862.13,875.77,858,875.62,-1.0865,871.6,34786.85,0.481222,2.00E-06,12.85,1.76,97.29,5,1.97476,30.764042,9.224255,46.450618,14.028685,0.00277,1.08E+12,-0.01087,3.00E-06,876.736,881.7614286,887.2557143,14.36799721,915.9917087,858.5197199,50.34835687,882.684567,889.9855716,-7.301004528,-5.625200154,-93.83121733,6.168782674,18.76900157,-19.03165511,-10.49,12,0,12,17.77,17.87600055,21.71597361,9.69886737,18.7863037,25.27788525,861.13
6/7/2019,507,573,600519.SH,3009567.792,-9.47,862.13,875.77,858,875.62,-1.0865,871.6,34786.85,0.521975,1.00E-05,12.85,1.76,97.29,5,1.97476,30.764042,9.224255,46.450618,14.028685,0.00277,1.08E+12,-0.01087,3.00E-06,872.632,877.78,885.1290476,14.42825854,913.9855647,856.2725305,44.34307831,879.522326,887.9221959,-8.39986994,-6.180134111,-93.83121733,6.168782674,11.57166141,-4.636974801,0,0,0,0,17.77,18.02997793,19.36524598,3.570691434,16.49593343,23.63632946,861.13
6/8/2019,508,572,600519.SH,3189104.117,4.53483472,862.8411821,877.4402363,848.9344632,868.0610551,0.179367543,866.6850811,42331.64013,0.513503,0.000497,12.80559832,1.856749651,40.09227404,5,1.97169676,30.86841759,9.274327535,46.51165352,14.17401358,0.003813324,1.09E+12,0.005235079,3.00E-06,866.8002364,872.6644546,883.0055325,14.59310331,912.1917391,853.8193259,47.38540683,876.9559961,886.064343,-9.108346893,-6.765776668,-81.70542566,18.29457434,10.21071323,34.46229657,1.670236335,9.065536821,0,9.065536821,28.50577316,17.85600867,20.02243687,5.71942214,14.32269054,21.52277493,861.8411821
