userId,userName,gz_num,fs_num,intro,age
1.84E+15,落袋为安万难贪,0,34,这个人很懒，什么都没有留下,5.9年
8.31E+15,股友601l2Q7097,0,32,这个人很懒，什么都没有留下,6个月
8.86E+15,市场千变万化,15,20,这个人很懒，什么都没有留下,5.8年
2.41E+15,股友fycW9M,0,0,这个人很懒，什么都没有留下,8个月
4.93E+15,股友9pYe09,20,0,这个人很懒，什么都没有留下,1年
9.53E+15,富可生财地若素,10,5,尽力而为…！,3.7年
8.07E+15,通达人生信则永生,2,2,这个人很懒，什么都没有留下,10个月
1.61E+15,股友yhbYdQ,3,0,这个人很懒，什么都没有留下,10个月
4.14E+15,股友sOl2yk,0,0,这个人很懒，什么都没有留下,1.4年
5.19E+15,股友T8NLf3,3,5,这个人很懒，什么都没有留下,1.5年
9.95E+15,割肉禁区,1,2,这个人很懒，什么都没有留下,2.1年
2.88E+15,上劲的小韭菜,0,1,这个人很懒，什么都没有留下,10个月
9.74E+15,老有所依幼有所养,0,0,这个人很懒，什么都没有留下,1.5年
8.03E+15,我只有个小目标,0,10,好好持有，肯定行的！,1.1年
6.87E+15,n1403683021e6fca,1,8,这个人很懒，什么都没有留下,7.1年
9.07E+15,远离主力骗局,4,278,这个人很懒，什么都没有留下,9.1年
5.30E+15,股友5Mi8077515,0,1,这个人很懒，什么都没有留下,5.4年
5.83E+15,安息香,88,13,这个人很懒，什么都没有留下,3.5年
6.15E+15,股友LohZFH,0,1,这个人很懒，什么都没有留下,8个月
4.54E+15,股市胖虎,10,16943,股市胖虎 畅行无阻,2.1年
5.21E+15,股友C1RKR9,0,53,这个人很懒，什么都没有留下,1.6年
5.30E+15,股友DHol1n,0,0,这个人很懒，什么都没有留下,1.7年
7.97E+15,贫民窟的大富翁,132,10760,资深股民，财经领域的优秀自媒体,2.7年
4.16E+15,闪闪红心火龙果,3,1,这个人很懒，什么都没有留下,1.4年
1.81E+15,不涨停请跌停,10,0,这个人很懒，什么都没有留下,1.1年
5.30E+15,股友5Mi8077515,0,1,这个人很懒，什么都没有留下,5.4年
1.11E+15,静等一片天,6,0,花开的时候,1.6年
8.41E+15,股友zGOeuf,6,0,这个人很懒，什么都没有留下,1.5年
9.08E+15,迎着风拥抱彩虹,15,12,这个人很懒，什么都没有留下,1.1年
2.59E+15,全能选手8888666,1,79,这个人很懒，什么都没有留下,4.1年
9.07E+15,远离主力骗局,4,278,这个人很懒，什么都没有留下,9.1年
3.51E+15,股友4AmnoB,3,0,这个人很懒，什么都没有留下,5.3年
5.83E+15,安息香,88,13,这个人很懒，什么都没有留下,3.5年
5.47E+15,A智慧保,0,102,剖析市场真相，共享智慧人生！与智慧君一起，认清金融保险业的庐山真面目。,6.7年
9.48E+15,锦鲤保,0,16,最贴心靠谱的保险科普频道,9个月
5.47E+15,A智慧保,0,102,剖析市场真相，共享智慧人生！与智慧君一起，认清金融保险业的庐山真面目。,6.7年
9.48E+15,锦鲤保,0,16,最贴心靠谱的保险科普频道,9个月
9.89E+15,wjhuang1961,4,1,这个人很懒，什么都没有留下,7.5年
9.95E+15,胜利胜利来吧,98,2089,这个人很懒，什么都没有留下,6.2年
2.51E+15,股友Xprrya,11,0,这个人很懒，什么都没有留下,1.2年
4.22E+15,新摘商业评论,0,74,年轻的新商业科技媒体,2.2年
5.44E+15,我要喝酒吃肉肉,9,0,这个人很懒，什么都没有留下,1.5年
3.04E+15,发现网,0,13801,发现网，立足《发现》杂志，做核心价值发现者，为企业家提供有价值的知识和思考，为企业提供创新实践经验和精彩案例传播平台。,2.2年
4.29E+15,说好的牛呢我日,1,0,任你天翻地覆我依然巍然不动,2.3年
1.21E+15,厉害了我的强,9,0,这个人很懒，什么都没有留下,1.5年
6.10E+15,股友uyMtq3,25,3,这个人很懒，什么都没有留下,5.3年
